"","constructor","aircraft_type","airline"
"2480","Airbus","A330-300","China-Southern-Airlines"
"2481","Airbus","A330-300","China-Southern-Airlines"
"2482","Dassault","Falcon-900","Private"
"2483","Airbus","A320neo","Air-China"
"2484","Airbus","A321-200","Air-China"
"2485","Airbus","A320-200","Sichuan-Airlines"
"2486","Boeing","737-700","Air-China"
"2487","Airbus","A320-200","China-Southern-Airlines"
"2488","Boeing","787-9","China-Southern-Airlines"
"2489","Airbus","A319-100","Finnair"
"2490","Airbus","A319-100","easyJet-Europe"
"2491","Airbus","A319-100","easyJet-Europe"
"2492","Airbus","A320-200","Vueling"
"2493","Airbus","A321-100","Lufthansa"
"2494","Boeing","777-300","Turkish-Airlines"
"2495","Airbus","A320-200","easyJet-Europe"
"2496","Boeing","737-800","Transavia"
"2497","Airbus","A320neo","SAS"
"2498","Airbus","A320-200","easyJet"
"2499","Boeing","737-500","Azman-Air"
"2500","Airbus","A350-1000","Cathay-Pacific"
"2501","Boeing","777-300","Cathay-Pacific"
"2502","Airbus","A321-200","Finnair"
"2503","Airbus","A320-200","Eurowings"
"2504","Boeing","737-500","Belavia"
"2505","Boeing","737-900","Turkish-Airlines"
"2506","Airbus","A320-200","Eurowings"
"2507","Airbus","A330-200","Qatar-Airways"
"2508","Airbus","A321-200","Aeroflot-Russian-Airlines"
"2509","Boeing","777-300","Emirates"
"2510","Airbus","A320-200","easyJet"
"2511","Embraer","ERJ-195","LOT-Polish-Airlines"
"2512","Boeing","787-9","United-Airlines"
"2513","Boeing","787-8","Avianca"
"2514","Boeing","777-200","United-Airlines"
"2515","Airbus","A321neo","British-Airways"
"2516","Airbus","A330-300","Delta-Air-Lines"
"2517","Airbus","A350-900","Singapore-Airlines"
"2518","Boeing","747-400","KLM-Royal-Dutch-Airlines"
"2519","Boeing","737-800","Norwegian-Air-Sweden"
"2520","Boeing","747-400","Atlas-Air"
"2521","Boeing","747-400","Atlas-Air"
"2522","British-Aerospace","Avro-RJ85","Cityjet"
"2523","Bombardier","CRJ-900","SAS"
"2524","Airbus","A320-200","Aer-Lingus"
"2525","Boeing","737-800","Ryanair"
"2526","Airbus","A319-100","Rossiya-Russian-Airlines"
"2527","Airbus","A320-200","Aer-Lingus"
"2528","Boeing","747-400","Atlas-Air"
"2529","Airbus","A321-200","Just-Us-Air"
"2530","Airbus","A320-200","Air-One"
"2531","Airbus","A320-200","Aer-Lingus"
"2532","Airbus","A320-200","Aer-Lingus"
"2533","Airbus","A320-200","Aer-Lingus"
"2534","/photos/aircraft/Raytheon/390-Premier-I","/photos/reg/D-IWWW","/photos/manufacturer/Raytheon"
"2535","/photos/aircraft/Cessna/525-CitationJet","/photos/reg/D-IAWU","/photos/manufacturer/Cessna"
"2536","Cessna","525-CitationJet","Private"
"2537","Airbus","A380-800","Emirates"
"2538","Airbus","A319-100","Lufthansa"
"2539","Embraer","ERJ-195","LOT-Polish-Airlines"
"2540","Boeing","787-9","Etihad-Airways"
"2541","Learjet","45","Private"
"2542","Boeing","737-700","Smartwings"
"2543","Airbus","A320-200","Eurowings"
"2544","Airbus","A319-100","Czech-Airlines-CSA"
"2545","De-Havilland-Canada","DHC-8-400","Eurowings"
"2546","Boeing","787-9","Etihad-Airways"
"2547","Airbus","A320-200","SAS"
"2548","Airbus","A319-100","Germanwings"
"2549","Boeing","737-800","SunExpress"
"2550","Boeing","737-800","Ryanair"
"2551","Airbus","A320neo","Viva-Aerobus"
"2552","Airbus","A320-200","Eurowings"
"2553","Airbus","A320-200","Iberia"
"2554","Airbus","A319-100","Eurowings"
"2555","Airbus","A320-200","Aeroflot-Russian-Airlines"
"2556","Boeing","777-300","Emirates"
"2557","Airbus","A220-300","Air-Baltic"
"2558","Boeing","737-500","Belavia"
"2559","Airbus","A320-200","Eurowings"
"2560","Airbus","A319-100","easyJet-Switzerland"
"2561","Transall","C-160","Turkish-Air-Force"
"2562","Boeing","747-400","Cargolux-Airlines-International"
"2563","Boeing","747-8","United-Parcel-Service-%28UPS%29"
"2564","Boeing","747-8","Cathay-Pacific"
"2565","Boeing","747-400","Polar-Air-Cargo"
"2566","Airbus","A320-200","Philippines-AirAsia"
"2567","Airbus","A330-300","Philippine-Airlines"
"2568","Airbus","A350-900","Finnair"
"2569","Boeing","777-300","Qatar-Airways"
"2570","Airbus","A330-200","China-Southern-Airlines"
"2571","Boeing","737-800","Xiamen-Airlines"
"2572","Airbus","A320-200","IndiGo"
"2573","Airbus","A330-300","Singapore-Airlines"
"2574","Airbus","A330-200","Hong-Kong-Airlines"
"2575","Airbus","A330-300","Cathay-Pacific"
"2576","Airbus","A319-100","Sichuan-Airlines"
"2577","Airbus","A320-200","China-Eastern-Airlines"
"2578","Airbus","A330-300","CEBU-Pacific-Air"
"2579","Boeing","777-200","Kalitta-Air"
"2580","Boeing","737-800","Myanmar"
"2581","Boeing","747-400","Polar-Air-Cargo"
"2582","Boeing","747-400","Aerotranscargo"
"2583","Airbus","A330-300","Hong-Kong-Airlines"
"2584","Boeing","747-8","Cathay-Pacific"
"2585","Boeing","777-200","Singapore-Airlines"
"2586","Airbus","A330-300","Malaysia-Airlines"
"2587","Boeing","777-300","Cathay-Pacific"
"2588","Boeing","777-200","AeroLogic"
"2589","Boeing","787-8","Japan-Airlines"
"2590","Airbus","A350-900","Finnair"
"2591","Boeing","777-300","Cathay-Pacific"
"2592","Airbus","A330-300","CEBU-Pacific-Air"
"2593","Airbus","A330-300","Air-China"
"2594","Airbus","A321neo","China-Southern-Airlines"
"2595","Boeing","777-300","All-Nippon-Airways"
"2596","Boeing","767-300","Hokkaido-International-Airlines-Air-Do"
"2597",NA,NA,NA
"2598",NA,NA,NA
"2599","Embraer","ERJ-145","JetNetherlands"
"2600","Airbus","A330-200","Condor"
"2601","Boeing","787-9","EgyptAir"
"2602","Airbus","A319-100","Lufthansa"
"2603","Airbus","A319-100","Aeronautica-Militare"
"2604","Airbus","A321-200","Wizz-Air-Hungary"
"2605","Boeing","737-800","Blue-Panorama-Airlines"
"2606","Boeing","737-300","Blue-Air"
"2607","Airbus","A320-200","China-Express-Airlines"
"2608","Dassault","Falcon-2000","Global-Taxi-Aereo"
"2609","Airbus","A319-100","Eurowings"
"2610","Airbus","A320neo","Frontier-Airlines"
"2611","General-Dynamics","F-16_Fighting-Falcon","USAF-United-States-Air-Force"
"2612","Airbus","A330-300","China-Airlines"
"2613","Embraer","ERJ-170","HOP"
"2614","British-Aerospace","146-200","Meridiana"
"2615","Airbus","A321neo","STARLUX-Airlines"
"2616","Boeing","787-9","Etihad-Airways"
"2617","Embraer","ERJ-195","Air-Dolomiti"
"2618",NA,NA,NA
"2619","Embraer","ERJ-175","KLM-Cityhopper"
"2620","Boeing","747SP","NASA"
"2621","Boeing","737-800","Eurowings"
"2622","Lockheed-Martin","C-130J_Super_Hercules","USAF-United-States-Air-Force"
"2623","Boeing","787-9","El-Al-Israel-Airlines"
"2624","Boeing","737-700","Southwest-Airlines"
"2625","Airbus","A380-800","China-Southern-Airlines"
"2626","Tupolev","Tu-134","Malev-Hungarian-Airlines"
"2627","Boeing","747-400","Cargolux-Airlines-International"
"2628","Airbus","A320-200","Thai-AirAsia"
"2629","Airbus","A320-200","Transasia-Airways"
"2630",NA,NA,NA
"2631","Airbus","A320-200","Alitalia"
"2632","Boeing","787-8","Japan-Airlines"
"2633","Airbus","A330-200","Qatar-Airways-Cargo"
"2634","Boeing","787-9","Air-China"
"2635","Airbus","A320-200","Finnair"
"2636","Boeing","747-8","Cargolux-Airlines-International"
"2637","Boeing","777-300","Air-China"
"2638","British-Aerospace","146-100","Dan-Air-London"
"2639","Boeing","787-9","Etihad-Airways"
"2640","Airbus","A320-200","Spring-Airlines"
