"","constructor","aircraft_type","airline"
"2046","Airbus","A320neo","British-Airways"
"2047","De-Havilland-Canada","DHC-8-400","Flybe"
"2048","Boeing","787-9","Norwegian-Air-UK"
"2049","Airbus","A320neo","Vueling"
"2050","Boeing","777-300","Air-Canada"
"2051","Boeing","737-800","Ryanair-UK"
"2052","Airbus","A330-300","Singapore-Airlines"
"2053","Boeing","737-700","Smartwings"
"2054","Boeing","757-200","GainJet-Aviation"
"2055","Airbus","A320neo","Pegasus"
"2056","Embraer","ERJ-190","KLM-Cityhopper"
"2057","Boeing","737-700","SAS"
"2058","Airbus","A320-200","British-Airways"
"2059","Airbus","A320-200","easyJet-Europe"
"2060","Airbus","A319-100","Lufthansa"
"2061","Airbus","A330-300","Eurowings"
"2062","Embraer","ERJ-190","KLM-Cityhopper"
"2063","Boeing","767-300","LAN-Airlines"
"2064","Boeing","737-300","Transavia"
"2065","Boeing","737-300","Air-Europa"
"2066","McDonnell-Douglas","MD-83","Far-Eastern-Air-Transport"
"2067","Boeing","737-800","KLM-Royal-Dutch-Airlines"
"2068","Airbus","A321-200","Air-China"
"2069","Xian","MA60","Joy-Air"
"2070","Airbus","A320-200","China-West-Air"
"2071","Airbus","A350-900","Finnair"
"2072","Boeing","777-200","United-Airlines"
"2073","Airbus","A330-300","Cathay-Pacific"
"2074","Airbus","A330-300","Hainan-Airlines"
"2075","Boeing","737-800","Malaysia-Airlines"
"2076","Boeing","737-800","China-Southern-Airlines"
"2077","Boeing","737-200","Peach-Air"
"2078","Embraer","ERJ-175","United-Express"
"2079","Boeing","767-300","Kalitta-Air"
"2080","Bombardier","CRJ-700","GoJet-Airlines"
"2081","Boeing","737-800","Norwegian-Air-Sweden"
"2082","Boeing","737-800","Norwegian-Air-Sweden"
"2083","Airbus","A320neo","Loong-Air"
"2084","Bombardier","CRJ-700","GoJet-Airlines"
"2085","Bombardier","CRJ-700","GoJet-Airlines"
"2086","Bombardier","CRJ-700","GoJet-Airlines"
"2087","Boeing","737-800","Ryanair"
"2088","Airbus","A320-200","Eurowings"
"2089","Airbus","A320neo","Lufthansa"
"2090","Boeing","737-900","KLM-Royal-Dutch-Airlines"
"2091","Boeing","737-800","Ryanair"
"2092","Airbus","A320-200","Aeroflot-Russian-Airlines"
"2093","Boeing","737-800","Ryanair"
"2094","Airbus","A319-100","Brussels-Airlines"
"2095","Boeing","777-300","Garuda-Indonesia"
"2096","Airbus","A300-600","EAT-Leipzig"
"2097","Boeing","777-300","Emirates"
"2098","Airbus","A330-300","Turkish-Airlines"
"2099","Boeing","737-800","Pobeda"
"2100","Boeing","787-9","Norwegian-Long-Haul"
"2101","Airbus","A320-200","Alitalia"
"2102","Airbus","A320-200","Ural-Airlines"
"2103","Airbus","A319-100","S7-Siberia-Airlines"
"2104","Airbus","A319-100","Ernest"
"2105","De-Havilland-Canada","DHC-8-400","Air-Baltic"
"2106","Airbus","A320-200","Tailwind-Airlines"
"2107","Airbus","A320-200","AtlasGlobal-Ukraine"
"2108","Airbus","A320-200","AtlasGlobal-Ukraine"
"2109","Airbus","A320-200","AtlasGlobal-Ukraine"
"2110","Airbus","A320-200","Astra-Airlines"
"2111","Airbus","A320-200","Air-Arabia-Egypt"
"2112","Bombardier","BD-100-Challenger-300","Tulpar"
"2113","Boeing","747-8","Atlas-Air"
